timestamp;importance_type;scenario;age;anosmia;cough;diarrhea;fever;minor_severity_factor;risk_factor;sore_throat_aches
2020-04-28 00:50:53,210;SHAPLEY_EFFECT;A;0.13939;0.03795;0.09050;0.21498;0.24613;0.04293;0.18795;0.04016
2020-04-28 00:52:53,590;SHAP_IMPORTANCE;A;0.09924;0.06028;0.10815;0.10664;0.16434;0.03199;0.16226;0.05091
2020-04-28 01:03:34,926;SHAP_IMPORTANCE;B;0.05922;0.04099;0.07092;0.06435;0.08379;0.05925;0.11431;0.03329
2020-04-28 01:04:28,716;SHAPLEY_EFFECT;B;0.12081;0.03710;0.12547;0.11859;0.18688;0.11942;0.25503;0.03671
2020-04-28 01:06:08,787;SHAPLEY_EFFECT;B;0.11649;0.03370;0.11622;0.12291;0.19116;0.12190;0.26053;0.03710
2020-04-28 01:16:17,517;SHAP_IMPORTANCE;A;0.10848;0.05428;0.10122;0.13056;0.18205;0.03960;0.14258;0.04005
2020-04-28 01:20:35,764;SHAPLEY_EFFECT;A;0.14043;0.04050;0.09134;0.20777;0.24616;0.05015;0.17995;0.04371
2020-04-28 01:22:21,334;SHAPLEY_EFFECT;A;0.14637;0.04448;0.08898;0.20516;0.23936;0.04920;0.18636;0.04008
2020-04-28 01:26:55,853;SHAP_IMPORTANCE;B;0.06370;0.04030;0.07764;0.06700;0.09557;0.06530;0.12445;0.03396
2020-04-28 01:35:54,066;SHAPLEY_EFFECT;B;0.11635;0.04057;0.12789;0.12045;0.17752;0.12246;0.26657;0.02819
2020-04-28 01:37:43,774;SHAPLEY_EFFECT;B;0.12143;0.02725;0.12415;0.12394;0.18601;0.12450;0.25848;0.03424
2020-04-28 01:39:14,113;SHAP_IMPORTANCE;A;0.10225;0.06229;0.10391;0.10546;0.17904;0.03507;0.16320;0.04904
2020-04-28 01:50:02,487;SHAP_IMPORTANCE;B;0.05999;0.04050;0.07467;0.07175;0.09092;0.05966;0.11666;0.03157
2020-04-28 01:52:07,832;SHAPLEY_EFFECT;A;0.13880;0.04675;0.09147;0.20587;0.24145;0.04893;0.18273;0.04400
2020-04-28 01:54:04,829;SHAPLEY_EFFECT;A;0.14064;0.04384;0.09134;0.20682;0.24307;0.05118;0.18053;0.04258
2020-04-28 02:02:56,453;SHAP_IMPORTANCE;A;0.09601;0.05235;0.10144;0.10714;0.17955;0.03821;0.15307;0.05543
2020-04-28 02:07:30,688;SHAPLEY_EFFECT;B;0.12010;0.02250;0.12955;0.11941;0.19625;0.12581;0.26902;0.01736
2020-04-28 02:09:29,609;SHAPLEY_EFFECT;B;0.10755;0.03091;0.13221;0.10596;0.19112;0.11998;0.28382;0.02844
